App Catagory,COUNTA of App Catagory
Health & Fitness,57
Entertainment,49
Productivity,47
Education,42
Music & Audio,36
Tools,34
Social,33
Travel & Local,29
Communication,20
Arcade,20
Action,20
Simulation,17
Photography,17
Shopping,15
Business,14
Puzzle,13
Video Players & Editors,11
Strategy,11
Lifestyle,11
Casual,11
Books & Reference,11
Maps & Navigation,10
News & Magazines,9
Dating,9
Role Playing,8
Food & Drinks,8
Art & Design,7
Adventure,7
Personalization,6
Board,5
Auto & Vehicles,5
Sports,4
Finance,4
Weather,3
Racing,2
Food & Drink,1
Comics,1
Grand Total,607
